title,author,year_approx,period_hint,notes,classified
Sonnet 29: When in disgrace with fortune and men's eyes,William Shakespeare,1609,Renaissance,,no
Sonnet 73: That time of year thou mayst in me behold,William Shakespeare,1609,Renaissance,,no
Sonnet 116: Let me not to the marriage of true minds,William Shakespeare,1609,Renaissance,,no
Sonnet 130: My mistress' eyes are nothing like the sun,William Shakespeare,1609,Renaissance,,no
The Flea,John Donne,1633,Renaissance,,no
A Valediction: Forbidding Mourning,John Donne,1633,Renaissance,,no
Death Be Not Proud,John Donne,1633,Renaissance,,no
Batter My Heart,John Donne,1633,Renaissance,,no
The Sun Rising,John Donne,1633,Renaissance,,no
The Canonization,John Donne,1633,Renaissance,,no
"To Althea, From Prison",Richard Lovelace,1649,Renaissance,,no
"To Lucasta, Going to the Wars",Richard Lovelace,1649,Renaissance,,no
When I Consider How My Light Is Spent,John Milton,1673,Renaissance,On His Blindness,no
Methought I Saw My Late Espoused Saint,John Milton,1673,Renaissance,,no
How Soon Hath Time,John Milton,1645,Renaissance,,no
On Shakespeare,John Milton,1632,Renaissance,,no
The Collar,George Herbert,1633,Renaissance,,no
The Pulley,George Herbert,1633,Renaissance,,no
Easter Wings,George Herbert,1633,Renaissance,,no
Virtue,George Herbert,1633,Renaissance,,no
Love (III),George Herbert,1633,Renaissance,,no
The Retreat,Henry Vaughan,1650,Renaissance,,no
They Are All Gone into the World of Light,Henry Vaughan,1655,Renaissance,,no
The World,Henry Vaughan,1650,Renaissance,,no
Song: To Celia,Ben Jonson,1616,Renaissance,Drink to Me Only,no
On My First Son,Ben Jonson,1616,Renaissance,,no
Still to Be Neat,Ben Jonson,1609,Renaissance,,no
To Penshurst,Ben Jonson,1616,Renaissance,,no
A Satire Against Reason and Mankind,"John Wilmot, Earl of Rochester",1679,Augustan,,no
Absalom and Achitophel,John Dryden,1681,Augustan,,no
To the Memory of Mr. Oldham,John Dryden,1684,Augustan,,no
A Song for St. Cecilia's Day,John Dryden,1687,Augustan,,no
The Rape of the Lock,Alexander Pope,1714,Augustan,,no
An Essay on Criticism,Alexander Pope,1711,Augustan,,no
An Essay on Man,Alexander Pope,1734,Augustan,,no
Epistle to Dr. Arbuthnot,Alexander Pope,1735,Augustan,,no
A Modest Proposal,Jonathan Swift,1729,Augustan,,no
A Description of a City Shower,Jonathan Swift,1710,Augustan,,no
Verses on the Death of Dr. Swift,Jonathan Swift,1739,Augustan,,no
The Deserted Village,Oliver Goldsmith,1770,Augustan,,no
The Vanity of Human Wishes,Samuel Johnson,1749,Augustan,,no
Ode on the Death of a Favourite Cat,Thomas Gray,1748,Augustan,,no
The Progress of Poesy,Thomas Gray,1757,Augustan,,no
Elegy to the Memory of an Unfortunate Lady,Alexander Pope,1717,Augustan,,no
The Tyger,William Blake,1794,Romantic,,no
The Lamb,William Blake,1789,Romantic,,no
London,William Blake,1794,Romantic,,no
The Chimney Sweeper,William Blake,1789,Romantic,,no
A Poison Tree,William Blake,1794,Romantic,,no
The Divine Image,William Blake,1789,Romantic,,no
I Wandered Lonely as a Cloud,William Wordsworth,1807,Romantic,Daffodils,no
My Heart Leaps Up,William Wordsworth,1807,Romantic,,no
Ode: Intimations of Immortality,William Wordsworth,1807,Romantic,,no
The Solitary Reaper,William Wordsworth,1807,Romantic,,no
The World Is Too Much With Us,William Wordsworth,1807,Romantic,,no
Composed upon Westminster Bridge,William Wordsworth,1807,Romantic,,no
She Dwelt Among the Untrodden Ways,William Wordsworth,1800,Romantic,,no
Kubla Khan,Samuel Taylor Coleridge,1816,Romantic,,no
Frost at Midnight,Samuel Taylor Coleridge,1798,Romantic,,no
Dejection: An Ode,Samuel Taylor Coleridge,1802,Romantic,,no
The Eolian Harp,Samuel Taylor Coleridge,1796,Romantic,,no
Ode to a Nightingale,John Keats,1819,Romantic,,no
To Autumn,John Keats,1820,Romantic,,no
La Belle Dame sans Merci,John Keats,1820,Romantic,,no
When I Have Fears That I May Cease to Be,John Keats,1818,Romantic,,no
Ode on Melancholy,John Keats,1819,Romantic,,no
Bright Star,John Keats,1838,Romantic,,no
She Walks in Beauty,Lord Byron,1815,Romantic,,no
When We Two Parted,Lord Byron,1816,Romantic,,no
The Destruction of Sennacherib,Lord Byron,1815,Romantic,,no
Prometheus,Lord Byron,1816,Romantic,,no
Ode to the West Wind,Percy Bysshe Shelley,1820,Romantic,,no
To a Skylark,Percy Bysshe Shelley,1820,Romantic,,no
Mont Blanc,Percy Bysshe Shelley,1817,Romantic,,no
Adonais,Percy Bysshe Shelley,1821,Romantic,,no
England in 1819,Percy Bysshe Shelley,1839,Romantic,,no
The Lady of Shalott,Alfred Tennyson,1832,Victorian,,no
The Charge of the Light Brigade,Alfred Tennyson,1854,Victorian,,no
"Break, Break, Break",Alfred Tennyson,1842,Victorian,,no
"Tears, Idle Tears",Alfred Tennyson,1847,Victorian,,no
Crossing the Bar,Alfred Tennyson,1889,Victorian,,no
In Memoriam A.H.H.,Alfred Tennyson,1850,Victorian,,no
Porphyria's Lover,Robert Browning,1836,Victorian,,no
Fra Lippo Lippi,Robert Browning,1855,Victorian,,no
Andrea del Sarto,Robert Browning,1855,Victorian,,no
The Bishop Orders His Tomb,Robert Browning,1845,Victorian,,no
Meeting at Night,Robert Browning,1845,Victorian,,no
How Do I Love Thee?,Elizabeth Barrett Browning,1850,Victorian,Sonnet 43,no
A Musical Instrument,Elizabeth Barrett Browning,1862,Victorian,,no
The Runaway Slave at Pilgrim's Point,Elizabeth Barrett Browning,1848,Victorian,,no
Remember,Christina Rossetti,1862,Victorian,,no
"When I Am Dead, My Dearest",Christina Rossetti,1862,Victorian,,no
In an Artist's Studio,Christina Rossetti,1856,Victorian,,no
Up-Hill,Christina Rossetti,1862,Victorian,,no
A Birthday,Christina Rossetti,1862,Victorian,,no
Dover Beach,Matthew Arnold,1867,Victorian,,no
The Scholar-Gypsy,Matthew Arnold,1853,Victorian,,no
To Marguerite—Continued,Matthew Arnold,1852,Victorian,,no
The Buried Life,Matthew Arnold,1852,Victorian,,no
Pied Beauty,Gerard Manley Hopkins,1918,Victorian,,no
The Windhover,Gerard Manley Hopkins,1918,Victorian,,no
God's Grandeur,Gerard Manley Hopkins,1918,Victorian,,no
Spring and Fall,Gerard Manley Hopkins,1918,Victorian,,no
As Kingfishers Catch Fire,Gerard Manley Hopkins,1918,Victorian,,no
Because I could not stop for Death,Emily Dickinson,1890,Victorian,,no
I heard a Fly buzz - when I died,Emily Dickinson,1896,Victorian,,no
Wild Nights - Wild Nights!,Emily Dickinson,1891,Victorian,,no
Hope is the thing with feathers,Emily Dickinson,1891,Victorian,,no
There's a certain Slant of light,Emily Dickinson,1890,Victorian,,no
The Soul selects her own Society,Emily Dickinson,1890,Victorian,,no
A narrow Fellow in the Grass,Emily Dickinson,1866,Victorian,,no
"After great pain, a formal feeling comes",Emily Dickinson,1929,Victorian,,no
Song of Myself,Walt Whitman,1855,Victorian,,no
O Captain! My Captain!,Walt Whitman,1865,Victorian,,no
I Sing the Body Electric,Walt Whitman,1855,Victorian,,no
Crossing Brooklyn Ferry,Walt Whitman,1856,Victorian,,no
Out of the Cradle Endlessly Rocking,Walt Whitman,1859,Victorian,,no
The Love Song of J. Alfred Prufrock,T.S. Eliot,1915,Modernist,,no
The Waste Land,T.S. Eliot,1922,Modernist,,no
The Hollow Men,T.S. Eliot,1925,Modernist,,no
Preludes,T.S. Eliot,1917,Modernist,,no
Journey of the Magi,T.S. Eliot,1927,Modernist,,no
The Second Coming,William Butler Yeats,1920,Modernist,,no
Sailing to Byzantium,William Butler Yeats,1928,Modernist,,no
Leda and the Swan,William Butler Yeats,1928,Modernist,,no
Among School Children,William Butler Yeats,1928,Modernist,,no
The Wild Swans at Coole,William Butler Yeats,1919,Modernist,,no
When You Are Old,William Butler Yeats,1893,Modernist,,no
The Lake Isle of Innisfree,William Butler Yeats,1893,Modernist,,no
The Road Not Taken,Robert Frost,1916,Modernist,,no
Stopping by Woods on a Snowy Evening,Robert Frost,1923,Modernist,,no
Mending Wall,Robert Frost,1914,Modernist,,no
Birches,Robert Frost,1916,Modernist,,no
After Apple-Picking,Robert Frost,1914,Modernist,,no
Design,Robert Frost,1936,Modernist,,no
Acquainted with the Night,Robert Frost,1928,Modernist,,no
The Red Wheelbarrow,William Carlos Williams,1923,Modernist,,no
This Is Just To Say,William Carlos Williams,1934,Modernist,,no
Spring and All,William Carlos Williams,1923,Modernist,,no
The Dance,William Carlos Williams,1944,Modernist,,no
Sea Rose,H.D.,1916,Modernist,,no
Helen,H.D.,1924,Modernist,,no
The Garden,Ezra Pound,1916,Modernist,,no
Hugh Selwyn Mauberley,Ezra Pound,1920,Modernist,,no
The River-Merchant's Wife: A Letter,Ezra Pound,1915,Modernist,,no
Poetry,Marianne Moore,1919,Modernist,,no
The Fish,Marianne Moore,1918,Modernist,,no
A Grave,Marianne Moore,1935,Modernist,,no
Sunday Morning,Wallace Stevens,1923,Modernist,,no
Thirteen Ways of Looking at a Blackbird,Wallace Stevens,1917,Modernist,,no
The Emperor of Ice-Cream,Wallace Stevens,1923,Modernist,,no
Anecdote of the Jar,Wallace Stevens,1919,Modernist,,no
The Snow Man,Wallace Stevens,1921,Modernist,,no
Musée des Beaux Arts,W. H. Auden,1940,Modernist,,no
In Memory of W. B. Yeats,W. H. Auden,1939,Modernist,,no
"September 1, 1939",W. H. Auden,1939,Modernist,,no
The Unknown Citizen,W. H. Auden,1940,Modernist,,no
The Weary Blues,Langston Hughes,1926,Modernist,,no
"I, Too",Langston Hughes,1926,Modernist,,no
Dream Deferred,Langston Hughes,1951,Modernist,Harlem,no
The Dream Keeper,Langston Hughes,1932,Modernist,,no
Mother to Son,Langston Hughes,1922,Modernist,,no
Heritage,Countee Cullen,1925,Modernist,,no
Incident,Countee Cullen,1925,Modernist,,no
The Death of the Ball Turret Gunner,Randall Jarrell,1945,Postwar,,no
Lady Lazarus,Sylvia Plath,1965,Postwar,,no
Ariel,Sylvia Plath,1965,Postwar,,no
Morning Song,Sylvia Plath,1965,Postwar,,no
Edge,Sylvia Plath,1965,Postwar,,no
Tulips,Sylvia Plath,1965,Postwar,,no
Mad Girl's Love Song,Sylvia Plath,1953,Postwar,,no
Skunk Hour,Robert Lowell,1959,Postwar,,no
For the Union Dead,Robert Lowell,1964,Postwar,,no
Memories of West Street and Lepke,Robert Lowell,1959,Postwar,,no
Waking in the Blue,Robert Lowell,1959,Postwar,,no
Her Kind,Anne Sexton,1960,Postwar,,no
The Truth the Dead Know,Anne Sexton,1962,Postwar,,no
All My Pretty Ones,Anne Sexton,1962,Postwar,,no
Wanting to Die,Anne Sexton,1966,Postwar,,no
The Fish,Elizabeth Bishop,1946,Postwar,,no
One Art,Elizabeth Bishop,1976,Postwar,,no
In the Waiting Room,Elizabeth Bishop,1976,Postwar,,no
The Armadillo,Elizabeth Bishop,1965,Postwar,,no
Sestina,Elizabeth Bishop,1965,Postwar,,no
Filling Station,Elizabeth Bishop,1965,Postwar,,no
The Moose,Elizabeth Bishop,1976,Postwar,,no
A Supermarket in California,Allen Ginsberg,1956,Postwar,,no
Kaddish,Allen Ginsberg,1961,Postwar,,no
America,Allen Ginsberg,1956,Postwar,,no
Ego Tripping,Nikki Giovanni,1972,Postwar,,no
The Bean Eaters,Gwendolyn Brooks,1960,Postwar,,no
We Real Cool,Gwendolyn Brooks,1960,Postwar,,no
The Mother,Gwendolyn Brooks,1945,Postwar,,no
Kitchenette Building,Gwendolyn Brooks,1945,Postwar,,no
For Malcolm X,Margaret Walker,1970,Postwar,,no
An American Childhood,Annie Dillard,1987,Postwar,,no
Diving into the Wreck,Adrienne Rich,1973,Contemporary,,no
Aunt Jennifer's Tigers,Adrienne Rich,1951,Contemporary,,no
Power,Adrienne Rich,1978,Contemporary,,no
The School Among the Ruins,Adrienne Rich,2004,Contemporary,,no
Wild Geese,Mary Oliver,1986,Contemporary,,no
The Summer Day,Mary Oliver,1990,Contemporary,,no
Sleeping in the Forest,Mary Oliver,1978,Contemporary,,no
The Journey,Mary Oliver,1986,Contemporary,,no
When Death Comes,Mary Oliver,1992,Contemporary,,no
In Blackwater Woods,Mary Oliver,1983,Contemporary,,no
Morning Poem,Mary Oliver,1994,Contemporary,,no
Parsley,Rita Dove,1983,Contemporary,,no
Daystar,Rita Dove,1986,Contemporary,,no
The House Slave,Rita Dove,1980,Contemporary,,no
Still I Rise,Maya Angelou,1978,Contemporary,,no
Caged Bird,Maya Angelou,1983,Contemporary,,no
A Brave and Startling Truth,Maya Angelou,1995,Contemporary,,no
The Hill We Climb,Amanda Gorman,2021,Contemporary,,no
Famous,Naomi Shihab Nye,1995,Contemporary,,no
Kindness,Naomi Shihab Nye,1995,Contemporary,,no
Gate A-4,Naomi Shihab Nye,2008,Contemporary,,no
The Writer,Richard Wilbur,1976,Contemporary,,no
Love Calls Us to the Things of This World,Richard Wilbur,1956,Contemporary,,no
Complaint,William Carlos Williams,1938,Contemporary,,no
Ode to My Socks,Pablo Neruda,1956,Contemporary,Translation,no
Tonight I Can Write,Pablo Neruda,1924,Contemporary,Translation,no
The Names,Billy Collins,2002,Contemporary,,no
Introduction to Poetry,Billy Collins,1988,Contemporary,,no
Forgetfulness,Billy Collins,1991,Contemporary,,no
The Lanyard,Billy Collins,2005,Contemporary,,no
