poem_id,title,author,source_url,length_lines,length_words,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
1,The Things That Cause a Quiet Life,Henry Howard Earl of Surrey,https://www.poetryfoundation.org/poems/45263/the-things-that-cause-a-quiet-life,14,16.0,1547,Tudor,Renaissance,Meditative,Epideictic,Monologic,Description,,Mimetic,Zero,3rd,Impersonal,Unaddressed,The things/quiet life,Atemporal,Static,Translation (Martial),Lyric,,Couplets,Iambic pentameter,AABB
10,On Mr. G. Herbert's Book,Richard Crashaw,https://www.poetryfoundation.org/poems/44626/on-mr-g-herberts-book,18,132.0,1646,Interregnum,Metaphysical,Devotional,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Herbert's book,Present,Static,Original,Lyric,,Couplets,Iambic pentameter,AABB
11,An Apology for Her Poetry,Margaret Cavendish,https://www.poetryfoundation.org/poems/148964/an-apology-for-her-poetry,18,130.0,1653,Interregnum,,Defensive,Forensic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Poetry/critics,Present,Linear,Original,Lyric,,Couplets,Iambic tetrameter,AABB
12,To His Coy Mistress,Andrew Marvell,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,46,304.0,1681,Restoration,Metaphysical,Argumentative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The mistress,Present/Future,Linear,Original,Lyric,,Couplets,Iambic tetrameter,AABB
13,Mac Flecknoe,John Dryden,https://www.poetryfoundation.org/poems/44172/mac-flecknoe,217,1690.0,1682,Restoration,Augustan,Satiric,Epideictic,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Direct address,Shadwell,Past,Linear,Original,Narrative,Satire,Couplets,Iambic pentameter,AABB
14,Eloisa to Abelard,Alexander Pope,https://www.poetryfoundation.org/poems/44892/eloisa-to-abelard,366,2753.0,1717,Neoclassical,Augustan,Passionate,Mixed,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,Abelard,Past/Present,Recursive,Imitation (Ovid),Dramatic,,Couplets,Iambic pentameter,AABB
15,Elegy Written in a Country Churchyard,Thomas Gray,https://www.poetryfoundation.org/poems/44299/elegy-written-in-a-country-churchyard,128,888.0,1751,Neoclassical,Graveyard School,Meditative,Epideictic,Monologic,Commentary/Description,,Mixed,Internal/External,1st/3rd,Shifting,Self-address,The dead,Past/Present,Recursive,Original,Lyric,Elegy,Quatrains,Iambic pentameter,ABAB
16,On Imagination,Phillis Wheatley,https://www.poetryfoundation.org/poems/45465/on-imagination,53,371.0,1773,Neoclassical,,Celebratory,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Imagination,Present,Static,Original,Lyric,Ode,Couplets,Iambic pentameter,AABB
17,Lines Composed a Few Miles above Tintern Abbey,William Wordsworth,https://www.poetryfoundation.org/poems/45527/lines-composed-a-few-miles-above-tintern-abbey-on-revisiting-the-banks-of-the-wye-during-a-tour-july-13-1798,159,1052.0,1798,Romantic,Romanticism,Meditative,Mixed,Monologic,Commentary,,Mixed,Internal,1st,Mixed,Mixed,Nature/sister,Past/Present,Recursive,Original,Lyric,,Blank verse,Iambic pentameter,Unrhymed
18,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,https://www.poetryfoundation.org/poems/43997/the-rime-of-the-ancient-mariner-text-of-1834,625,4665.0,1798,Romantic,Romanticism,Gothic/didactic,Mixed,Monologic,Narrative report,Extradiegetic,Diegetic,External/Internal,3rd/1st,Mixed,Direct address,Wedding guest,Past,Linear,Original,Narrative,,Quatrains,Ballad meter,ABCB
19,The Sick Rose,William Blake,https://www.poetryfoundation.org/poems/43682/the-sick-rose,8,42.0,1794,Romantic,Romanticism,Symbolic,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,2nd,Apostrophic,Apostrophic address,Rose/worm,Present,Static,Original,Lyric,,Two quatrains,Mixed,ABAB
2,Whoso List to Hunt,Thomas Wyatt,https://www.poetryfoundation.org/poems/45536/whoso-list-to-hunt-i-know-where-is-an-hind,14,14.0,1557,Tudor,Renaissance,Warning/Renunciative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Direct address,The hind/Caesar,Past/Present,Recursive,Imitation (Petrarch),Lyric,,Sonnet (8+6),Iambic pentameter,ABBAABBA CDCDEE
20,She Walks in Beauty,Lord Byron,https://www.poetryfoundation.org/poems/43844/she-walks-in-beauty,18,117.0,1814,Romantic,Romanticism,Admiring,Epideictic,Monologic,Description,,Mimetic,External,3rd,Third person,Unaddressed,The woman,Present,Static,Original,Lyric,,Three sestets,Iambic tetrameter,ABABAB
21,Ozymandias,Percy Bysshe Shelley,https://www.poetryfoundation.org/poems/46565/ozymandias,14,113.0,1818,Romantic,Romanticism,Ironic,Epideictic,Monologic,Narrative report,Intradiegetic,Mixed,Internal,1st,First person,Direct address,Statue,Past,Linear,Original,Lyric,,Sonnet,Iambic pentameter,ABABACDCEDEFEF
22,Ode on a Grecian Urn,John Keats,https://www.poetryfoundation.org/poems/44477/ode-on-a-grecian-urn,50,372.0,1819,Romantic,Romanticism,Meditative,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st/2nd,Apostrophic,Apostrophic address,The urn,Atemporal,Recursive,Original,Lyric,Ode,Five 10-line stanzas,Iambic pentameter,ABABCDECDE
23,Ulysses,Alfred Tennyson,https://www.poetryfoundation.org/poems/45392/ulysses,70,565.0,1833,Victorian,,Restless,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Triangulated address,Self/mariners,Present/Future,Linear,Original,Dramatic,,Blank verse,Iambic pentameter,Unrhymed
24,My Last Duchess,Robert Browning,https://www.poetryfoundation.org/poems/43768/my-last-duchess,57,447.0,1842,Victorian,,Controlling,Forensic,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,Portrait/Duchess,Past/Present,Linear,Original,Dramatic,,Couplets,Iambic pentameter,AABB
25,Goblin Market,Christina Rossetti,https://www.poetryfoundation.org/poems/44996/goblin-market,567,3043.0,1862,Victorian,Pre-Raphaelite,Cautionary,Mixed,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Direct address,Laura/Lizzie,Past,Linear,Original,Narrative,,Irregular,Irregular,Irregular
26,The Cry of the Children,Elizabeth Barrett Browning,https://www.poetryfoundation.org/poems/43725/the-cry-of-the-children,162,1355.0,1843,Victorian,,Indignant/Pleading,Deliberative,Polyvocal,Mixed,,Mixed,Multiple,1st/2nd/3rd,Second person,Direct address,Society/children,Present,Static,Original,Lyric,Political/social protest,12-line stanzas,Mixed anapestic/iambic,AABBCCDDEE (varied)
27,When Lilacs Last in the Dooryard Bloom'd,Walt Whitman,https://www.poetryfoundation.org/poems/45480/when-lilacs-last-in-the-dooryard-bloomd,222,2165.0,1865,Victorian,,Elegiac,Epideictic,Monologic,Mixed,,Mixed,Internal,1st,Mixed,Mixed,Lincoln/lilacs,Past/Present,Recursive,Original,Lyric,Elegy,16 numbered sections,Free verse,Unrhymed
28,I'm Nobody! Who are you?,Emily Dickinson,https://www.poetryfoundation.org/poems/47466/im-nobody-who-are-you-260,8,52.0,1891,Victorian,,Playful,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st/2nd,Second person,Direct address,Reader/Nobody,Present,Static,Original,Lyric,,Two quatrains,Hymn stanza,ABCB
29,"Loveliest of trees, the cherry now",A.E. Housman,https://www.poetryfoundation.org/poems/45515/loveliest-of-trees-the-cherry-now,12,74.0,1896,Victorian,,Carpe diem,Deliberative,Monologic,Commentary,,Mimetic,Internal,1st,First person,Self-address,Cherry trees,Present,Static,Original,Lyric,,Three quatrains,Iambic tetrameter,AABB
3,Astrophil and Stella 39: Come Sleep! O Sleep,Philip Sidney,https://www.poetryfoundation.org/poems/45153/astrophil-and-stella-39-come-sleep-o-sleep-the-certain-knot-of-peace,14,14.0,1591,Elizabethan,Renaissance,Pleading,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Sleep,Present,Static,Original,Lyric,,Sonnet (8+6),Iambic pentameter,ABBAABBA CDCDEE
30,In a Station of the Metro,Ezra Pound,https://www.poetryfoundation.org/poems/45129/in-a-station-of-the-metro,2,14.0,1913,Modernist,Imagism,Observational,Epideictic,Monologic,Description,,Mimetic,Zero,3rd,Impersonal,Unaddressed,Faces/petals,Present,Static,Original,Lyric,,Two lines,Free verse,Unrhymed
31,Oread,H.D.,https://www.poetryfoundation.org/poems/47658/oread,6,26.0,1914,Modernist,Imagism,Imperative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,2nd,Apostrophic,Apostrophic address,Sea/pines,Present,Static,Original,Lyric,,Six lines,Free verse,Unrhymed
32,"Easter, 1916",William Butler Yeats,https://www.poetryfoundation.org/poems/43289/easter-1916,80,429.0,1916,Modernist,Modernism,Ambivalent,Mixed,Monologic,Commentary,,Mixed,Internal,1st,Mixed,Direct address,The rebels,Past/Present,Recursive,Original,Lyric,Political elegy,Quatrains,Iambic tri/tetrameter,ABAB
33,Gerontion,T.S. Eliot,https://www.poetryfoundation.org/poems/44214/gerontion,78,578.0,1920,Modernist,Modernism,Bitter,Mixed,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Triangulated address,History,Present,Fragmentary,Original,Dramatic,,Free verse,Free verse,Unrhymed
34,The Negro Speaks of Rivers,Langston Hughes,,10,103.0,1921,Modernist,Harlem Renaissance,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Apostrophe,Rivers,Past and present,Recursive,Original,Lyric,,Free verse,Free verse,Unrhymed
35,Yet Do I Marvel,Countee Cullen,,14,100.0,1925,Modernist,Harlem Renaissance,Philosophical,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Divine paradox,Present,Linear,Original,Lyric,,Sonnet,Iambic pentameter,ABABCDCDEFEFGG
36,Reapers,Jean Toomer,,8,65.0,1923,Modernist,Harlem Renaissance,Observational,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Reapers,Present,Linear,Original,Lyric,,Octave,Iambic pentameter,AABBCCDD
37,Funeral Blues,W. H. Auden,,16,134.0,1936,Modernist,Modernism,Elegiac,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,General address,The deceased,Present,Linear,Original,Lyric,Elegy,Four quatrains,Anapestic tetrameter,AABBCCDD
38,Black Earth,Marianne Moore,,68,438.0,1918,Modernist,Modernism,Philosophical,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Self (elephant),Present,Meditative,Original,Lyric,Dramatic monologue,Syllabic stanzas,Syllabic verse,Light rhyme
39,Howl,Allen Ginsberg,,135,2905.0,1956,Postwar,Beat,Prophetic,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Beat generation,Past and present,Anaphoric catalog,Original,Lyric,,Three-part poem with long lines,Free verse,Unrhymed
4,Epithalamion,Edmund Spenser,https://www.poetryfoundation.org/poems/45189/epithalamion,433,2597.0,1595,Elizabethan,Renaissance,Celebratory,Epideictic,Monologic,Mixed,,Mixed,Internal,1st,Mixed,Mixed,Bride/wedding,Present/Future,Linear,Original,Lyric,Epithalamion,24 stanzas + envoi,Varied,Complex stanza
40,The Horses,Ted Hughes,,38,271.0,1957,Postwar,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Horses,Past and present,Linear,Original,Lyric,,Variable stanzas,Free verse,Unrhymed
41,Preface to a Twenty Volume Suicide Note,Amiri Baraka,,17,122.0,1961,Postwar,Black Arts,Confessional,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Daughter praying,Recent past,Linear,Original,Lyric,,Variable stanzas,Free verse,Unrhymed
42,Daddy,Sylvia Plath,,80,512.0,1962,Postwar,Confessional,Confessional,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Father,Past and present,Recursive,Original,Lyric,,16 five-line stanzas,Modified villanelle,Loose rhyme scheme
43,The Ghost,Robert Lowell,,82,579.0,1964,Postwar,Confessional,Dramatic,Epideictic,Dialogic,Mixed,,Mixed,Mixed,1st,First person,Direct address,Ghost/Sextus,Past,Linear,Adaptation,Lyric,Dramatic monologue,Rhyming couplets,Iambic pentameter,Couplets
44,Time and Time Again,A. K. Ramanujan,,19,127.0,1966,Postwar,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,2nd,Second person,General address,Clocktowers,Present,Linear,Original,Lyric,,Single stanza,Free verse,Unrhymed
45,The Ballad of the Lonely Masturbator,Anne Sexton,,42,290.0,1969,Postwar,Confessional,Confessional,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Former lover,Present,Recursive,Original,Lyric,Ballad,Seven six-line stanzas,Variable meter,ABABCB
46,Riot,Gwendolyn Brooks,,32,242.0,1969,Postwar,,Satirical,Deliberative,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Implied audience,John Cabot,Past,Linear,Original,Narrative,,Variable stanzas,Free verse,Unrhymed
47,Crusoe in England,Elizabeth Bishop,,182,1200.0,1971,Postwar,,Meditative,Epideictic,Monologic,Direct discourse,,Mixed,Internal,1st,First person,Implied audience,The island,Past and present,Recursive,Adaptation,Narrative,Dramatic monologue,Variable stanzas,Free verse,Unrhymed
48,Hinge Picture,Susan Howe,,24,60.0,1974,Contemporary,Language Poetry,Experimental,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,Mixed,First person,Direct address,Oarsman,Timeless,Fragmented,Original,Lyric,,Experimental visual spacing,Free verse,Light rhyme
49,Coal,Audre Lorde,,26,159.0,1976,Contemporary,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Language/words,Present,Meditative,Original,Lyric,,Variable stanzas,Free verse,Unrhymed
5,The Passionate Shepherd to his Love,Christopher Marlowe,https://www.poetryfoundation.org/poems/44691/the-passionate-shepherd-to-his-love,24,168.0,1599,Elizabethan,Renaissance,Persuasive,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The beloved,Future,Static,Original,Lyric,Pastoral,Quatrains,Iambic tetrameter,AABB
50,Phenomenal Woman,Maya Angelou,,60,258.0,1978,Contemporary,,Celebratory,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Audience,Present,Recursive,Original,Lyric,,Four stanzas with refrain,Free verse,Irregular rhyme
51,A Black River,Mary Oliver,,28,95.0,1992,Contemporary,,Observational,Epideictic,Monologic,Direct discourse,Extradiegetic,Diegetic,External,3rd,Third person,Implied audience,Alligator,Present,Linear,Original,Lyric,,Seven quatrains,Free verse,Unrhymed
52,Heart to Heart,Rita Dove,,32,94.0,1999,Contemporary,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Heart,Present,Meditative,Original,Lyric,,Single stanza,Free verse,Unrhymed
53,,,,,,2010,Contemporary,,,,,,,,,,,,,,,,Lyric,,,,
6,Shall I Compare Thee to a Summer's Day,William Shakespeare,https://www.poetryfoundation.org/poems/45087/sonnet-18-shall-i-compare-thee-to-a-summers-day,14,118.0,1609,Jacobean,Renaissance,Argumentative,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Second person,Triangulated address,Beloved/summer,Present/Future,Recursive,Original,Lyric,,Sonnet (12+2),Iambic pentameter,ABAB CDCD EFEF GG
7,The Description of Cooke-ham,Aemilia Lanyer,https://www.poetryfoundation.org/poems/50338/the-description-of-cooke-ham,210,1525.0,1611,Jacobean,Renaissance,Elegiac,Epideictic,Monologic,Description/Commentary,,Mixed,Internal,1st,Mixed,Mixed,The estate,Past/Present,Linear,Original,Lyric,Pastoral,Couplets,Iambic pentameter,AABB
8,The Good Morrow,John Donne,https://www.poetryfoundation.org/poems/44097/the-good-morrow,21,163.0,1633,Caroline,Metaphysical,Argumentative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The lovers,Present,Recursive,Original,Lyric,,Three septets,Iambic pentameter,ABABCCC
9,Lycidas,John Milton,https://www.poetryfoundation.org/poems/44733/lycidas,193,1416.0,1638,Caroline,Renaissance,Elegiac,Epideictic,Monologic,Mixed,,Mixed,Internal/External,1st/3rd,Mixed,Mixed,Lycidas/poetry,Past/Present,Recursive,Original,Mixed,Pastoral elegy,Irregular,Varied,Irregular
